Measure Mode: wall_time
Thread ID: 70212817918080
Fiber ID: 70212812661460
Total: 0.091663
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.03      0.000     0.000     0.000     0.000        9   ActiveRecord::Delegation::ClassMethods#relation_class_for 
  0.03      0.000     0.000     0.000     0.000        4   <Class::ActiveRecord::Associations::Builder::SingularAssociation>#define_constructors 
  0.03      0.000     0.000     0.000     0.000       41   Mutex#initialize 
  0.03      0.000     0.000     0.000     0.000       11   ActiveSupport::Callbacks::CallbackChain#append_one 
  0.03      0.014     0.000     0.000     0.014       50  *Enumerable#inject 
  0.03      0.000     0.000     0.000     0.000       28   Array#shift 
  0.03      0.000     0.000     0.000     0.000       31   SQLite3::Statement#column_name 
  0.03      0.000     0.000     0.000     0.000       16   ActiveSupport::Notifications::Fanout::Subscribers::Evented#start 
  0.03      0.000     0.000     0.000     0.000        4   Mutex_m#mu_extended 
  0.03      0.000     0.000     0.000     0.000       17   Hash#extractable_options? 
  0.03      0.000     0.000     0.000     0.000        8   SQLite3::Statement#get_metadata 
  0.03      0.016     0.000     0.000     0.016       13  *Hash#each 
  0.03      0.000     0.000     0.000     0.000       18   ActiveModel::AttributeMethods::ClassMethods::AttributeMethodMatcher#match 
  0.03      0.000     0.000     0.000     0.000       16   ActiveSupport::Notifications::Fanout#listeners_for 
  0.03      0.000     0.000     0.000     0.000        8   SQLite3::Database#prepare 
  0.03      0.000     0.000     0.000     0.000       13   <Class::ActiveRecord::RuntimeRegistry>#connection_handler 
  0.03      0.001     0.000     0.000     0.001        4   ActiveModel::Validations::ClassMethods#inherited 
  0.03      0.000     0.000     0.000     0.000       18   <Module::ActiveSupport::Dependencies>#autoload_paths 
  0.03      0.000     0.000     0.000     0.000       10   Hash#assert_valid_keys 
  0.03      0.014     0.000     0.000     0.014        6   ActiveSupport::Dependencies::ClassCache#get 
  0.03      0.002     0.000     0.000     0.002        4   ActiveRecord::AttributeMethods::ClassMethods#inherited 
  0.03      0.000     0.000     0.000     0.000       16   Array#concat 
  0.03      0.000     0.000     0.000     0.000       10   Arel::Visitors::ToSql#quote_table_name 
  0.03      0.000     0.000     0.000     0.000        9   ActiveRecord::Delegation::DelegateCache#relation_delegate_class 
  0.03      0.000     0.000     0.000     0.000        3   String#scan 
  0.03      0.001     0.000     0.000     0.001        4   ActiveRecord::ModelSchema::ClassMethods#undecorated_table_name 
  0.03      0.000     0.000     0.000     0.000       20   String#downcase 
  0.03      0.000     0.000     0.000     0.000        4   ActiveRecord::Enum#inherited 
  0.03      0.001     0.000     0.000     0.001        4   ActiveRecord::Delegation::DelegateCache#inherited 
  0.03      0.000     0.000     0.000     0.000        8   ActiveRecord::Result#initialize 
  0.03      0.001     0.000     0.000     0.001        5   <Class::ActiveRecord::Associations::Builder::SingularAssociation>#define_accessors 
  0.03      0.000     0.000     0.000     0.000        9   ActiveRecord::Reflection::ThroughReflection#source_reflection_name 
